Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,HomeATT,HomeMID,HomeDEF,AwayOVA,AwayATT,AwayMID,AwayDEF,OVA_diff
2018-08-10,Man United,Leicester,2,1,H,82,83,83,80,78,78,76,79,4
2018-08-11,Bournemouth,Cardiff,2,0,H,77,79,76,77,73,73,73,72,4
2018-08-11,Fulham,Crystal Palace,0,2,A,75,78,76,73,77,79,77,76,-2
2018-08-11,Huddersfield,Chelsea,0,3,A,74,72,73,75,83,85,83,82,-9
2018-08-11,Newcastle,Tottenham,1,2,A,76,75,77,76,83,86,82,83,-7
2018-08-11,Watford,Brighton,2,0,H,77,78,78,77,76,76,77,76,1
2018-08-11,Wolves,Everton,2,2,D,77,75,80,76,79,77,80,79,-2
2018-08-12,Arsenal,Man City,0,2,A,82,82,83,80,85,86,88,82,-3
2018-08-12,Liverpool,West Ham,4,0,H,83,86,82,82,78,78,78,77,5
2018-08-12,Southampton,Burnley,0,0,D,76,75,77,74,77,77,75,77,-1
2018-08-18,Cardiff,Newcastle,0,0,D,73,73,73,72,76,75,77,76,-3
2018-08-18,Chelsea,Arsenal,3,2,H,83,85,83,82,82,82,83,80,1
2018-08-18,Everton,Southampton,2,1,H,79,77,80,79,76,75,77,74,3
2018-08-18,Leicester,Wolves,2,0,H,78,78,76,79,77,75,80,76,1
2018-08-18,Tottenham,Fulham,3,1,H,83,86,82,83,75,78,76,73,8
2018-08-18,West Ham,Bournemouth,1,2,A,78,78,78,77,77,79,76,77,1
2018-08-19,Brighton,Man United,3,2,H,76,76,77,76,82,83,83,80,-6
2018-08-19,Burnley,Watford,1,3,A,77,77,75,77,77,78,78,77,0
2018-08-19,Man City,Huddersfield,6,1,H,85,86,88,82,74,72,73,75,11
2018-08-20,Crystal Palace,Liverpool,0,2,A,77,79,77,76,83,86,82,82,-6
2018-08-25,Arsenal,West Ham,3,1,H,82,82,83,80,78,78,78,77,4
2018-08-25,Bournemouth,Everton,2,2,D,77,79,76,77,79,77,80,79,-2
2018-08-25,Huddersfield,Cardiff,0,0,D,74,72,73,75,73,73,73,72,1
2018-08-25,Liverpool,Brighton,1,0,H,83,86,82,82,76,76,77,76,7
2018-08-25,Southampton,Leicester,1,2,A,76,75,77,74,78,78,76,79,-2
2018-08-25,Wolves,Man City,1,1,D,77,75,80,76,85,86,88,82,-8
2018-08-26,Fulham,Burnley,4,2,H,75,78,76,73,77,77,75,77,-2
2018-08-26,Newcastle,Chelsea,1,2,A,76,75,77,76,83,85,83,82,-7
2018-08-26,Watford,Crystal Palace,2,1,H,77,78,78,77,77,79,77,76,0
2018-08-27,Man United,Tottenham,0,3,A,82,83,83,80,83,86,82,83,-1
2018-09-01,Brighton,Fulham,2,2,D,76,76,77,76,75,78,76,73,1
2018-09-01,Chelsea,Bournemouth,2,0,H,83,85,83,82,77,79,76,77,6
2018-09-01,Crystal Palace,Southampton,0,2,A,77,79,77,76,76,75,77,74,1
2018-09-01,Everton,Huddersfield,1,1,D,79,77,80,79,74,72,73,75,5
2018-09-01,Leicester,Liverpool,1,2,A,78,78,76,79,83,86,82,82,-5
2018-09-01,Man City,Newcastle,2,1,H,85,86,88,82,76,75,77,76,9
2018-09-01,West Ham,Wolves,0,1,A,78,78,78,77,77,75,80,76,1
2018-09-02,Burnley,Man United,0,2,A,77,77,75,77,82,83,83,80,-5
2018-09-02,Cardiff,Arsenal,2,3,A,73,73,73,72,82,82,83,80,-9
2018-09-02,Watford,Tottenham,2,1,H,77,78,78,77,83,86,82,83,-6
2018-09-15,Bournemouth,Leicester,4,2,H,77,79,76,77,78,78,76,79,-1
2018-09-15,Chelsea,Cardiff,4,1,H,83,85,83,82,73,73,73,72,10
2018-09-15,Huddersfield,Crystal Palace,0,1,A,74,72,73,75,77,79,77,76,-3
2018-09-15,Man City,Fulham,3,0,H,85,86,88,82,75,78,76,73,10
2018-09-15,Newcastle,Arsenal,1,2,A,76,75,77,76,82,82,83,80,-6
2018-09-15,Tottenham,Liverpool,1,2,A,83,86,82,83,83,86,82,82,0
2018-09-15,Watford,Man United,1,2,A,77,78,78,77,82,83,83,80,-5
2018-09-16,Everton,West Ham,1,3,A,79,77,80,79,78,78,78,77,1
2018-09-16,Wolves,Burnley,1,0,H,77,75,80,76,77,77,75,77,0
2018-09-17,Southampton,Brighton,2,2,D,76,75,77,74,76,76,77,76,0
2018-09-22,Brighton,Tottenham,1,2,A,76,76,77,76,83,86,82,83,-7
2018-09-22,Burnley,Bournemouth,4,0,H,77,77,75,77,77,79,76,77,0
2018-09-22,Cardiff,Man City,0,5,A,73,73,73,72,85,86,88,82,-12
