Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,HomeATT,HomeMID,HomeDEF,AwayOVA,AwayATT,AwayMID,AwayDEF,OVA_diff
2011-08-13,Blackburn,Wolves,1,2,A,74,71,66,68,75,70,66,70,-1
2011-08-13,Fulham,Aston Villa,0,0,D,77,74,68,73,76,71,68,69,1
2011-08-13,Liverpool,Sunderland,1,1,D,81,75,71,73,76,66,73,70,5
2011-08-13,Newcastle,Arsenal,0,0,D,77,75,70,70,81,78,73,76,-4
2011-08-13,QPR,Bolton,0,4,A,76,72,72,71,74,72,72,71,2
2011-08-13,Wigan,Norwich,1,1,D,72,70,68,67,72,70,68,69,0
2011-08-14,Stoke,Chelsea,0,0,D,76,74,69,73,83,73,75,74,-7
2011-08-14,West Brom,Man United,1,2,A,74,70,67,69,83,78,76,77,-9
2011-08-15,Man City,Swansea,4,0,H,83,75,76,76,73,70,68,66,10
2011-08-20,Arsenal,Liverpool,0,2,A,81,78,73,76,81,75,71,73,0
2011-08-20,Aston Villa,Blackburn,3,1,H,76,71,68,69,74,71,66,68,2
2011-08-20,Chelsea,West Brom,2,1,H,83,73,75,74,74,70,67,69,9
2011-08-20,Everton,QPR,0,1,A,77,68,73,73,76,72,72,71,1
2011-08-20,Sunderland,Newcastle,0,1,A,76,66,73,70,77,75,70,70,-1
2011-08-20,Swansea,Wigan,0,0,D,73,70,68,66,72,70,68,67,1
2011-08-21,Bolton,Man City,2,3,A,74,72,72,71,83,75,76,76,-9
2011-08-21,Norwich,Stoke,1,1,D,72,70,68,69,76,74,69,73,-4
2011-08-21,Wolves,Fulham,2,0,H,75,70,66,70,77,74,68,73,-2
2011-08-22,Man United,Tottenham,3,0,H,83,78,76,77,81,73,75,77,2
2011-08-27,Aston Villa,Wolves,0,0,D,76,71,68,69,75,70,66,70,1
2011-08-27,Blackburn,Everton,0,1,A,74,71,66,68,77,68,73,73,-3
2011-08-27,Chelsea,Norwich,3,1,H,83,73,75,74,72,70,68,69,11
2011-08-27,Liverpool,Bolton,3,1,H,81,75,71,73,74,72,72,71,7
2011-08-27,Swansea,Sunderland,0,0,D,73,70,68,66,76,66,73,70,-3
2011-08-27,Wigan,QPR,2,0,H,72,70,68,67,76,72,72,71,-4
2011-08-28,Man United,Arsenal,8,2,H,83,78,76,77,81,78,73,76,2
2011-08-28,Newcastle,Fulham,2,1,H,77,75,70,70,77,74,68,73,0
2011-08-28,Tottenham,Man City,1,5,A,81,73,75,77,83,75,76,76,-2
2011-08-28,West Brom,Stoke,0,1,A,74,70,67,69,76,74,69,73,-2
2011-09-10,Arsenal,Swansea,1,0,H,81,78,73,76,73,70,68,66,8
2011-09-10,Bolton,Man United,0,5,A,74,72,72,71,83,78,76,77,-9
2011-09-10,Everton,Aston Villa,2,2,D,77,68,73,73,76,71,68,69,1
2011-09-10,Man City,Wigan,3,0,H,83,75,76,76,72,70,68,67,11
2011-09-10,Stoke,Liverpool,1,0,H,76,74,69,73,81,75,71,73,-5
2011-09-10,Sunderland,Chelsea,1,2,A,76,66,73,70,83,73,75,74,-7
2011-09-10,Wolves,Tottenham,0,2,A,75,70,66,70,81,73,75,77,-6
2011-09-11,Fulham,Blackburn,1,1,D,77,74,68,73,74,71,66,68,3
2011-09-11,Norwich,West Brom,0,1,A,72,70,68,69,74,70,67,69,-2
2011-09-12,QPR,Newcastle,0,0,D,76,72,72,71,77,75,70,70,-1
2011-09-17,Aston Villa,Newcastle,1,1,D,76,71,68,69,77,75,70,70,-1
2011-09-17,Blackburn,Arsenal,4,3,H,74,71,66,68,81,78,73,76,-7
2011-09-17,Bolton,Norwich,1,2,A,74,72,72,71,72,70,68,69,2
2011-09-17,Everton,Wigan,3,1,H,77,68,73,73,72,70,68,67,5
2011-09-17,Swansea,West Brom,3,0,H,73,70,68,66,74,70,67,69,-1
2011-09-17,Wolves,QPR,0,3,A,75,70,66,70,76,72,72,71,-1
2011-09-18,Fulham,Man City,2,2,D,77,74,68,73,83,75,76,76,-6
2011-09-18,Man United,Chelsea,3,1,H,83,78,76,77,83,73,75,74,0
2011-09-18,Sunderland,Stoke,4,0,H,76,66,73,70,76,74,69,73,0
2011-09-18,Tottenham,Liverpool,4,0,H,81,73,75,77,81,75,71,73,0
2011-09-24,Arsenal,Bolton,3,0,H,81,78,73,76,74,72,72,71,7
2011-09-24,Chelsea,Swansea,4,1,H,83,73,75,74,73,70,68,66,10
2011-09-24,Liverpool,Wolves,2,1,H,81,75,71,73,75,70,66,70,6
2011-09-24,Man City,Everton,2,0,H,83,75,76,76,77,68,73,73,6
2011-09-24,Newcastle,Blackburn,3,1,H,77,75,70,70,74,71,66,68,3
2011-09-24,Stoke,Man United,1,1,D,76,74,69,73,83,78,76,77,-7
2011-09-24,West Brom,Fulham,0,0,D,74,70,67,69,77,74,68,73,-3
2011-09-24,Wigan,Tottenham,1,2,A,72,70,68,67,81,73,75,77,-9
2011-09-25,QPR,Aston Villa,1,1,D,76,72,72,71,76,71,68,69,0
2011-09-26,Norwich,Sunderland,2,1,H,72,70,68,69,76,66,73,70,-4
2011-10-01,Aston Villa,Wigan,2,0,H,76,71,68,69,72,70,68,67,4
2011-10-01,Blackburn,Man City,0,4,A,74,71,66,68,83,75,76,76,-9
2011-10-01,Everton,Liverpool,0,2,A,77,68,73,73,81,75,71,73,-4
2011-10-01,Man United,Norwich,2,0,H,83,78,76,77,72,70,68,69,11
2011-10-01,Sunderland,West Brom,2,2,D,76,66,73,70,74,70,67,69,2
2011-10-01,Wolves,Newcastle,1,2,A,75,70,66,70,77,75,70,70,-2
2011-10-02,Bolton,Chelsea,1,5,A,74,72,72,71,83,73,75,74,-9
2011-10-02,Fulham,QPR,6,0,H,77,74,68,73,76,72,72,71,1
2011-10-02,Swansea,Stoke,2,0,H,73,70,68,66,76,74,69,73,-3
2011-10-02,Tottenham,Arsenal,2,1,H,81,73,75,77,81,78,73,76,0
2011-10-15,Chelsea,Everton,3,1,H,83,73,75,74,77,68,73,73,6
2011-10-15,Liverpool,Man United,1,1,D,81,75,71,73,83,78,76,77,-2
2011-10-15,Man City,Aston Villa,4,1,H,83,75,76,76,76,71,68,69,7
2011-10-15,Norwich,Swansea,3,1,H,72,70,68,69,73,70,68,66,-1
2011-10-15,QPR,Blackburn,1,1,D,76,72,72,71,74,71,66,68,2
2011-10-15,Stoke,Fulham,2,0,H,76,74,69,73,77,74,68,73,-1
2011-10-15,Wigan,Bolton,1,3,A,72,70,68,67,74,72,72,71,-2
2011-10-16,Arsenal,Sunderland,2,1,H,81,78,73,76,76,66,73,70,5
2011-10-16,Newcastle,Tottenham,2,2,D,77,75,70,70,81,73,75,77,-4
2011-10-16,West Brom,Wolves,2,0,H,74,70,67,69,75,70,66,70,-1
2011-10-22,Aston Villa,West Brom,1,2,A,76,71,68,69,74,70,67,69,2
2011-10-22,Bolton,Sunderland,0,2,A,74,72,72,71,76,66,73,70,-2
2011-10-22,Liverpool,Norwich,1,1,D,81,75,71,73,72,70,68,69,9
2011-10-22,Newcastle,Wigan,1,0,H,77,75,70,70,72,70,68,67,5
2011-10-22,Wolves,Swansea,2,2,D,75,70,66,70,73,70,68,66,2
2011-10-23,Arsenal,Stoke,3,1,H,81,78,73,76,76,74,69,73,5
2011-10-23,Blackburn,Tottenham,1,2,A,74,71,66,68,81,73,75,77,-7
2011-10-23,Fulham,Everton,1,3,A,77,74,68,73,77,68,73,73,0
2011-10-23,Man United,Man City,1,6,A,83,78,76,77,83,75,76,76,0
2011-10-23,QPR,Chelsea,1,0,H,76,72,72,71,83,73,75,74,-7
2011-10-29,Chelsea,Arsenal,3,5,A,83,73,75,74,81,78,73,76,2
2011-10-29,Everton,Man United,0,1,A,77,68,73,73,83,78,76,77,-6
2011-10-29,Man City,Wolves,3,1,H,83,75,76,76,75,70,66,70,8
2011-10-29,Norwich,Blackburn,3,3,D,72,70,68,69,74,71,66,68,-2
2011-10-29,Sunderland,Aston Villa,2,2,D,76,66,73,70,76,71,68,69,0
2011-10-29,Swansea,Bolton,3,1,H,73,70,68,66,74,72,72,71,-1
2011-10-29,West Brom,Liverpool,0,2,A,74,70,67,69,81,75,71,73,-7
2011-10-29,Wigan,Fulham,0,2,A,72,70,68,67,77,74,68,73,-5
2011-10-30,Tottenham,QPR,3,1,H,81,73,75,77,76,72,72,71,5
2011-10-31,Stoke,Newcastle,1,3,A,76,74,69,73,77,75,70,70,-1
2011-11-05,Arsenal,West Brom,3,0,H,81,78,73,76,74,70,67,69,7
2011-11-05,Aston Villa,Norwich,3,2,H,76,71,68,69,72,70,68,69,4
2011-11-05,Blackburn,Chelsea,0,1,A,74,71,66,68,83,73,75,74,-9
2011-11-05,Liverpool,Swansea,0,0,D,81,75,71,73,73,70,68,66,8
2011-11-05,Man United,Sunderland,1,0,H,83,78,76,77,76,66,73,70,7
2011-11-05,Newcastle,Everton,2,1,H,77,75,70,70,77,68,73,73,0
2011-11-05,QPR,Man City,2,3,A,76,72,72,71,83,75,76,76,-7
2011-11-06,Bolton,Stoke,5,0,H,74,72,72,71,76,74,69,73,-2
2011-11-06,Fulham,Tottenham,1,3,A,77,74,68,73,81,73,75,77,-4
2011-11-06,Wolves,Wigan,3,1,H,75,70,66,70,72,70,68,67,3
2011-11-19,Everton,Wolves,2,1,H,77,68,73,73,75,70,66,70,2
2011-11-19,Man City,Newcastle,3,1,H,83,75,76,76,77,75,70,70,6
2011-11-19,Norwich,Arsenal,1,2,A,72,70,68,69,81,78,73,76,-9
2011-11-19,Stoke,QPR,2,3,A,76,74,69,73,76,72,72,71,0
2011-11-19,Sunderland,Fulham,0,0,D,76,66,73,70,77,74,68,73,-1
2011-11-19,Swansea,Man United,0,1,A,73,70,68,66,83,78,76,77,-10
2011-11-19,West Brom,Bolton,2,1,H,74,70,67,69,74,72,72,71,0
2011-11-19,Wigan,Blackburn,3,3,D,72,70,68,67,74,71,66,68,-2
2011-11-20,Chelsea,Liverpool,1,2,A,83,73,75,74,81,75,71,73,2
2011-11-21,Tottenham,Aston Villa,2,0,H,81,73,75,77,76,71,68,69,5
2011-11-26,Arsenal,Fulham,1,1,D,81,78,73,76,77,74,68,73,4
2011-11-26,Bolton,Everton,0,2,A,74,72,72,71,77,68,73,73,-3
2011-11-26,Chelsea,Wolves,3,0,H,83,73,75,74,75,70,66,70,8
2011-11-26,Man United,Newcastle,1,1,D,83,78,76,77,77,75,70,70,6
2011-11-26,Norwich,QPR,2,1,H,72,70,68,69,76,72,72,71,-4
2011-11-26,Stoke,Blackburn,3,1,H,76,74,69,73,74,71,66,68,2
2011-11-26,Sunderland,Wigan,1,2,A,76,66,73,70,72,70,68,67,4
2011-11-26,West Brom,Tottenham,1,3,A,74,70,67,69,81,73,75,77,-7
2011-11-27,Liverpool,Man City,1,1,D,81,75,71,73,83,75,76,76,-2
2011-11-27,Swansea,Aston Villa,0,0,D,73,70,68,66,76,71,68,69,-3
2011-12-03,Aston Villa,Man United,0,1,A,76,71,68,69,83,78,76,77,-7
2011-12-03,Blackburn,Swansea,4,2,H,74,71,66,68,73,70,68,66,1
2011-12-03,Man City,Norwich,5,1,H,83,75,76,76,72,70,68,69,11
2011-12-03,Newcastle,Chelsea,0,3,A,77,75,70,70,83,73,75,74,-6
2011-12-03,QPR,West Brom,1,1,D,76,72,72,71,74,70,67,69,2
2011-12-03,Tottenham,Bolton,3,0,H,81,73,75,77,74,72,72,71,7
2011-12-03,Wigan,Arsenal,0,4,A,72,70,68,67,81,78,73,76,-9
2011-12-04,Everton,Stoke,0,1,A,77,68,73,73,76,74,69,73,1
2011-12-04,Wolves,Sunderland,2,1,H,75,70,66,70,76,66,73,70,-1
2011-12-05,Fulham,Liverpool,1,0,H,77,74,68,73,81,75,71,73,-4
2011-12-10,Arsenal,Everton,1,0,H,81,78,73,76,77,68,73,73,4
2011-12-10,Bolton,Aston Villa,1,2,A,74,72,72,71,76,71,68,69,-2
2011-12-10,Liverpool,QPR,1,0,H,81,75,71,73,76,72,72,71,5
2011-12-10,Man United,Wolves,4,1,H,83,78,76,77,75,70,66,70,8
2011-12-10,Norwich,Newcastle,4,2,H,72,70,68,69,77,75,70,70,-5
2011-12-10,Swansea,Fulham,2,0,H,73,70,68,66,77,74,68,73,-4
2011-12-10,West Brom,Wigan,1,2,A,74,70,67,69,72,70,68,67,2
2011-12-11,Stoke,Tottenham,2,1,H,76,74,69,73,81,73,75,77,-5
2011-12-11,Sunderland,Blackburn,2,1,H,76,66,73,70,74,71,66,68,2
2011-12-12,Chelsea,Man City,2,1,H,83,73,75,74,83,75,76,76,0
2011-12-17,Blackburn,West Brom,1,2,A,74,71,66,68,74,70,67,69,0
2011-12-17,Everton,Norwich,1,1,D,77,68,73,73,72,70,68,69,5
2011-12-17,Fulham,Bolton,2,0,H,77,74,68,73,74,72,72,71,3
2011-12-17,Newcastle,Swansea,0,0,D,77,75,70,70,73,70,68,66,4
2011-12-17,Wigan,Chelsea,1,1,D,72,70,68,67,83,73,75,74,-11
2011-12-17,Wolves,Stoke,1,2,A,75,70,66,70,76,74,69,73,-1
2011-12-18,Aston Villa,Liverpool,0,2,A,76,71,68,69,81,75,71,73,-5
2011-12-18,Man City,Arsenal,1,0,H,83,75,76,76,81,78,73,76,2
2011-12-18,QPR,Man United,0,2,A,76,72,72,71,83,78,76,77,-7
2011-12-18,Tottenham,Sunderland,1,0,H,81,73,75,77,76,66,73,70,5
2011-12-20,Blackburn,Bolton,1,2,A,74,71,66,68,74,72,72,71,0
2011-12-20,Wolves,Norwich,2,2,D,75,70,66,70,72,70,68,69,3
2011-12-21,Aston Villa,Arsenal,1,2,A,76,71,68,69,81,78,73,76,-5
2011-12-21,Everton,Swansea,1,0,H,77,68,73,73,73,70,68,66,4
2011-12-21,Fulham,Man United,0,5,A,77,74,68,73,83,78,76,77,-6
2011-12-21,Man City,Stoke,3,0,H,83,75,76,76,76,74,69,73,7
2011-12-21,Newcastle,West Brom,2,3,A,77,75,70,70,74,70,67,69,3
2011-12-21,QPR,Sunderland,2,3,A,76,72,72,71,76,66,73,70,0
2011-12-21,Wigan,Liverpool,0,0,D,72,70,68,67,81,75,71,73,-9
2011-12-22,Tottenham,Chelsea,1,1,D,81,73,75,77,83,73,75,74,-2
2011-12-26,Bolton,Newcastle,0,2,A,74,72,72,71,77,75,70,70,-3
2011-12-26,Chelsea,Fulham,1,1,D,83,73,75,74,77,74,68,73,6
2011-12-26,Liverpool,Blackburn,1,1,D,81,75,71,73,74,71,66,68,7
2011-12-26,Man United,Wigan,5,0,H,83,78,76,77,72,70,68,67,11
2011-12-26,Stoke,Aston Villa,0,0,D,76,74,69,73,76,71,68,69,0
2011-12-26,Sunderland,Everton,1,1,D,76,66,73,70,77,68,73,73,-1
2011-12-26,West Brom,Man City,0,0,D,74,70,67,69,83,75,76,76,-9
2011-12-27,Arsenal,Wolves,1,1,D,81,78,73,76,75,70,66,70,6
2011-12-27,Norwich,Tottenham,0,2,A,72,70,68,69,81,73,75,77,-9
2011-12-27,Swansea,QPR,1,1,D,73,70,68,66,76,72,72,71,-3
2011-12-30,Liverpool,Newcastle,3,1,H,81,75,71,73,77,75,70,70,4
2011-12-31,Arsenal,QPR,1,0,H,81,78,73,76,76,72,72,71,5
2011-12-31,Bolton,Wolves,1,1,D,74,72,72,71,75,70,66,70,-1
2011-12-31,Chelsea,Aston Villa,1,3,A,83,73,75,74,76,71,68,69,7
2011-12-31,Man United,Blackburn,2,3,A,83,78,76,77,74,71,66,68,9
2011-12-31,Norwich,Fulham,1,1,D,72,70,68,69,77,74,68,73,-5
2011-12-31,Stoke,Wigan,2,2,D,76,74,69,73,72,70,68,67,4
2011-12-31,Swansea,Tottenham,1,1,D,73,70,68,66,81,73,75,77,-8
2012-01-01,Sunderland,Man City,1,0,H,76,66,73,70,83,75,76,76,-7
2012-01-01,West Brom,Everton,0,1,A,74,70,67,69,77,68,73,73,-3
2012-01-02,Aston Villa,Swansea,0,2,A,76,71,68,69,73,70,68,66,3
2012-01-02,Blackburn,Stoke,1,2,A,74,71,66,68,76,74,69,73,-2
2012-01-02,Fulham,Arsenal,2,1,H,77,74,68,73,81,78,73,76,-4
2012-01-02,QPR,Norwich,1,2,A,76,72,72,71,72,70,68,69,4
