Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,HomeATT,HomeMID,HomeDEF,AwayOVA,AwayATT,AwayMID,AwayDEF,OVA_diff
2021-10-03,Tottenham,Aston Villa,2.0,1.0,H,81,83,80,79,78,79,78,79,3
2021-10-03,West Ham,Brentford,1.0,2.0,A,79,80,78,78,74,74,75,74,5
2021-10-03,Liverpool,Man City,2.0,2.0,D,85,86,84,85,85,84,87,86,0
2021-10-16,Watford,Liverpool,0.0,5.0,A,74,75,75,73,85,86,84,85,-11
2021-10-16,Aston Villa,Wolves,2.0,3.0,A,78,79,78,79,78,79,80,78,0
2021-10-16,Leicester,Man United,4.0,2.0,H,80,80,81,79,83,85,83,81,-3
2021-10-16,Man City,Burnley,2.0,0.0,H,85,84,87,86,76,77,75,76,9
2021-10-16,Norwich,Brighton,0.0,0.0,D,73,75,73,73,76,77,75,76,-3
2021-10-16,Southampton,Leeds,1.0,0.0,H,76,75,77,76,76,77,78,75,0
2021-10-16,Brentford,Chelsea,0.0,1.0,A,74,74,75,74,84,83,86,83,-10
2021-10-17,Everton,West Ham,0.0,1.0,A,78,78,78,77,79,80,78,78,-1
2021-10-17,Newcastle,Tottenham,2.0,3.0,A,77,77,77,77,81,83,80,79,-4
2021-10-18,Arsenal,Crystal Palace,2.0,2.0,D,80,82,80,77,76,76,76,75,4
2021-10-22,Arsenal,Aston Villa,3.0,1.0,H,80,82,80,77,78,79,78,79,2
2021-10-23,Chelsea,Norwich,7.0,0.0,H,84,83,86,83,73,75,73,73,11
2021-10-23,Crystal Palace,Newcastle,1.0,1.0,D,76,76,76,75,77,77,77,77,-1
2021-10-23,Everton,Watford,2.0,5.0,A,78,78,78,77,74,75,75,73,4
2021-10-23,Leeds,Wolves,1.0,1.0,D,76,77,78,75,78,79,80,78,-2
2021-10-23,Southampton,Burnley,2.0,2.0,D,76,75,77,76,76,77,75,76,0
2021-10-23,Brighton,Man City,1.0,4.0,A,76,77,75,76,85,84,87,86,-9
2021-10-24,Brentford,Leicester,1.0,2.0,A,74,74,75,74,80,80,81,79,-6
2021-10-24,West Ham,Tottenham,1.0,0.0,H,79,80,78,78,81,83,80,79,-2
2021-10-24,Man United,Liverpool,0.0,5.0,A,83,85,83,81,85,86,84,85,-2
2021-10-30,Leicester,Arsenal,0.0,2.0,A,80,80,81,79,80,82,80,77,0
2021-10-30,Burnley,Brentford,3.0,1.0,H,76,77,75,76,74,74,75,74,2
2021-10-30,Liverpool,Brighton,2.0,2.0,D,85,86,84,85,76,77,75,76,9
2021-10-30,Man City,Crystal Palace,0.0,2.0,A,85,84,87,86,76,76,76,75,9
2021-10-30,Newcastle,Chelsea,0.0,3.0,A,77,77,77,77,84,83,86,83,-7
2021-10-30,Watford,Southampton,0.0,1.0,A,74,75,75,73,76,75,77,76,-2
2021-10-30,Tottenham,Man United,0.0,3.0,A,81,83,80,79,83,85,83,81,-2
2021-10-31,Norwich,Leeds,1.0,2.0,A,73,75,73,73,76,77,78,75,-3
2021-10-31,Aston Villa,West Ham,1.0,4.0,A,78,79,78,79,79,80,78,78,-1
2021-11-01,Wolves,Everton,2.0,1.0,H,78,79,80,78,78,78,78,77,0
2021-11-05,Southampton,Aston Villa,1.0,0.0,H,76,75,77,76,78,79,78,79,-2
2021-11-06,Man United,Man City,0.0,2.0,A,83,85,83,81,85,84,87,86,-2
2021-11-06,Brentford,Norwich,1.0,2.0,A,74,74,75,74,73,75,73,73,1
2021-11-06,Chelsea,Burnley,1.0,1.0,D,84,83,86,83,76,77,75,76,8
2021-11-06,Crystal Palace,Wolves,2.0,0.0,H,76,76,76,75,78,79,80,78,-2
2021-11-06,Brighton,Newcastle,1.0,1.0,D,76,77,75,76,77,77,77,77,-1
2021-11-07,Arsenal,Watford,1.0,0.0,H,80,82,80,77,74,75,75,73,6
2021-11-07,Everton,Tottenham,0.0,0.0,D,78,78,78,77,81,83,80,79,-3
2021-11-07,Leeds,Leicester,1.0,1.0,D,76,77,78,75,80,80,81,79,-4
2021-11-07,West Ham,Liverpool,3.0,2.0,H,79,80,78,78,85,86,84,85,-6
2021-11-20,Leicester,Chelsea,0.0,3.0,A,80,80,81,79,84,83,86,83,-4
2021-11-20,Aston Villa,Brighton,2.0,0.0,H,78,79,78,79,76,77,75,76,2
2021-11-20,Burnley,Crystal Palace,3.0,3.0,D,76,77,75,76,76,76,76,75,0
2021-11-20,Newcastle,Brentford,3.0,3.0,D,77,77,77,77,74,74,75,74,3
2021-11-20,Norwich,Southampton,2.0,1.0,H,73,75,73,73,76,75,77,76,-3
2021-11-20,Watford,Man United,4.0,1.0,H,74,75,75,73,83,85,83,81,-9
2021-11-20,Wolves,West Ham,1.0,0.0,H,78,79,80,78,79,80,78,78,-1
2021-11-20,Liverpool,Arsenal,4.0,0.0,H,85,86,84,85,80,82,80,77,5
2021-11-21,Man City,Everton,3.0,0.0,H,85,84,87,86,78,78,78,77,7
2021-11-21,Tottenham,Leeds,2.0,1.0,H,81,83,80,79,76,77,78,75,5
2021-11-27,Arsenal,Newcastle,2.0,0.0,H,80,82,80,77,77,77,77,77,3
2021-11-27,Crystal Palace,Aston Villa,1.0,2.0,A,76,76,76,75,78,79,78,79,-2
2021-11-27,Liverpool,Southampton,4.0,0.0,H,85,86,84,85,76,75,77,76,9
2021-11-27,Norwich,Wolves,0.0,0.0,D,73,75,73,73,78,79,80,78,-5
2021-11-27,Brighton,Leeds,0.0,0.0,D,76,77,75,76,76,77,78,75,0
2021-11-28,Brentford,Everton,1.0,0.0,H,74,74,75,74,78,78,78,77,-4
2021-11-28,Leicester,Watford,4.0,2.0,H,80,80,81,79,74,75,75,73,6
2021-11-28,Man City,West Ham,2.0,1.0,H,85,84,87,86,79,80,78,78,6
2021-11-28,Chelsea,Man United,1.0,1.0,D,84,83,86,83,83,85,83,81,1
2021-11-30,Newcastle,Norwich,1.0,1.0,D,77,77,77,77,73,75,73,73,4
2021-11-30,Leeds,Crystal Palace,1.0,0.0,H,76,77,78,75,76,76,76,75,0
2021-12-01,Southampton,Leicester,2.0,2.0,D,76,75,77,76,80,80,81,79,-4
2021-12-01,Watford,Chelsea,1.0,2.0,A,74,75,75,73,84,83,86,83,-10
2021-12-01,West Ham,Brighton,1.0,1.0,D,79,80,78,78,76,77,75,76,3
2021-12-01,Wolves,Burnley,0.0,0.0,D,78,79,80,78,76,77,75,76,2
2021-12-01,Aston Villa,Man City,1.0,2.0,A,78,79,78,79,85,84,87,86,-7
2021-12-01,Everton,Liverpool,1.0,4.0,A,78,78,78,77,85,86,84,85,-7
2021-12-02,Tottenham,Brentford,2.0,0.0,H,81,83,80,79,74,74,75,74,7
2021-12-02,Man United,Arsenal,3.0,2.0,H,83,85,83,81,80,82,80,77,3
2021-12-04,West Ham,Chelsea,3.0,2.0,H,79,80,78,78,84,83,86,83,-5
2021-12-04,Newcastle,Burnley,1.0,0.0,H,77,77,77,77,76,77,75,76,1
2021-12-04,Southampton,Brighton,1.0,1.0,D,76,75,77,76,76,77,75,76,0
2021-12-04,Wolves,Liverpool,0.0,1.0,A,78,79,80,78,85,86,84,85,-7
2021-12-04,Watford,Man City,1.0,3.0,A,74,75,75,73,85,84,87,86,-11
2021-12-05,Leeds,Brentford,2.0,2.0,D,76,77,78,75,74,74,75,74,2
2021-12-05,Man United,Crystal Palace,1.0,0.0,H,83,85,83,81,76,76,76,75,7
2021-12-05,Tottenham,Norwich,3.0,0.0,H,81,83,80,79,73,75,73,73,8
2021-12-05,Aston Villa,Leicester,2.0,1.0,H,78,79,78,79,80,80,81,79,-2
