Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,HomeATT,HomeMID,HomeDEF,AwayOVA,AwayATT,AwayMID,AwayDEF,OVA_diff
2008-08-16,Arsenal,West Brom,1,0,H,81,78,72,71,71,68,67,68,10
2008-08-16,Bolton,Stoke,3,1,H,74,69,69,70,70,70,66,69,4
2008-08-16,Everton,Blackburn,2,3,A,78,71,71,72,76,70,67,72,2
2008-08-16,Hull,Fulham,2,1,H,71,66,64,63,74,70,69,68,-3
2008-08-16,Middlesbrough,Tottenham,2,1,H,74,72,72,68,79,74,73,73,-5
2008-08-16,Sunderland,Liverpool,0,1,A,75,68,66,67,81,72,69,72,-6
2008-08-16,West Ham,Wigan,2,1,H,76,66,70,68,73,71,68,66,3
2008-08-17,Aston Villa,Man City,4,2,H,78,77,70,69,79,67,70,72,-1
2008-08-17,Chelsea,Portsmouth,4,0,H,84,75,75,78,76,72,72,73,8
2008-08-17,Man United,Newcastle,1,1,D,84,75,75,75,76,72,71,70,8
2008-08-23,Blackburn,Hull,1,1,D,76,70,67,72,71,66,64,63,5
2008-08-23,Fulham,Arsenal,1,0,H,74,70,69,68,81,78,72,71,-7
2008-08-23,Liverpool,Middlesbrough,2,1,H,81,72,69,72,74,72,72,68,7
2008-08-23,Newcastle,Bolton,1,0,H,76,72,71,70,74,69,69,70,2
2008-08-23,Stoke,Aston Villa,3,2,H,70,70,66,69,78,77,70,69,-8
2008-08-23,Tottenham,Sunderland,1,2,A,79,74,73,73,75,68,66,67,4
2008-08-23,West Brom,Everton,1,2,A,71,68,67,68,78,71,71,72,-7
2008-08-24,Man City,West Ham,3,0,H,79,67,70,72,76,66,70,68,3
2008-08-24,Wigan,Chelsea,0,1,A,73,71,68,66,84,75,75,78,-11
2008-08-25,Portsmouth,Man United,0,1,A,76,72,72,73,84,75,75,75,-8
2008-08-30,Arsenal,Newcastle,3,0,H,81,78,72,71,76,72,71,70,5
2008-08-30,Bolton,West Brom,0,0,D,74,69,69,70,71,68,67,68,3
2008-08-30,Everton,Portsmouth,0,3,A,78,71,71,72,76,72,72,73,2
2008-08-30,Hull,Wigan,0,5,A,71,66,64,63,73,71,68,66,-2
2008-08-30,Middlesbrough,Stoke,2,1,H,74,72,72,68,70,70,66,69,4
2008-08-30,West Ham,Blackburn,4,1,H,76,66,70,68,76,70,67,72,0
2008-08-31,Aston Villa,Liverpool,0,0,D,78,77,70,69,81,72,69,72,-3
2008-08-31,Chelsea,Tottenham,1,1,D,84,75,75,78,79,74,73,73,5
2008-08-31,Sunderland,Man City,0,3,A,75,68,66,67,79,67,70,72,-4
2008-09-13,Blackburn,Arsenal,0,4,A,76,70,67,72,81,78,72,71,-5
2008-09-13,Fulham,Bolton,2,1,H,74,70,69,68,74,69,69,70,0
2008-09-13,Liverpool,Man United,2,1,H,81,72,69,72,84,75,75,75,-3
2008-09-13,Man City,Chelsea,1,3,A,79,67,70,72,84,75,75,78,-5
2008-09-13,Newcastle,Hull,1,2,A,76,72,71,70,71,66,64,63,5
2008-09-13,Portsmouth,Middlesbrough,2,1,H,76,72,72,73,74,72,72,68,2
2008-09-13,West Brom,West Ham,3,2,H,71,68,67,68,76,66,70,68,-5
2008-09-13,Wigan,Sunderland,1,1,D,73,71,68,66,75,68,66,67,-2
2008-09-14,Stoke,Everton,2,3,A,70,70,66,69,78,71,71,72,-8
2008-09-15,Tottenham,Aston Villa,1,2,A,79,74,73,73,78,77,70,69,1
2008-09-20,Blackburn,Fulham,1,0,H,76,70,67,72,74,70,69,68,2
2008-09-20,Bolton,Arsenal,1,3,A,74,69,69,70,81,78,72,71,-7
2008-09-20,Liverpool,Stoke,0,0,D,81,72,69,72,70,70,66,69,11
2008-09-20,Sunderland,Middlesbrough,2,0,H,75,68,66,67,74,72,72,68,1
2008-09-20,West Ham,Newcastle,3,1,H,76,66,70,68,76,72,71,70,0
2008-09-21,Chelsea,Man United,1,1,D,84,75,75,78,84,75,75,75,0
