Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,HomeATT,HomeMID,HomeDEF,AwayOVA,AwayATT,AwayMID,AwayDEF,OVA_diff
2010-08-14,Aston Villa,West Ham,3,0,H,78,77,72,75,75,73,72,71,3
2010-08-14,Blackburn,Everton,1,0,H,75,72,72,70,78,69,72,70,-3
2010-08-14,Bolton,Fulham,0,0,D,75,70,74,72,77,71,71,72,-2
2010-08-14,Chelsea,West Brom,6,0,H,83,73,77,77,73,71,67,70,10
2010-08-14,Sunderland,Birmingham,2,2,D,75,70,73,70,76,72,70,72,-1
2010-08-14,Tottenham,Man City,0,0,D,80,75,78,74,82,73,76,76,-2
2010-08-14,Wigan,Blackpool,0,4,A,73,69,69,68,69,69,68,69,4
2010-08-14,Wolves,Stoke,2,1,H,73,70,67,67,74,72,69,70,-1
2010-08-15,Liverpool,Arsenal,1,1,D,80,73,73,72,81,76,76,76,-1
2010-08-16,Man United,Newcastle,3,0,H,82,74,75,78,74,71,70,70,8
2010-08-21,Arsenal,Blackpool,6,0,H,81,76,76,76,69,69,68,69,12
2010-08-21,Birmingham,Blackburn,2,1,H,76,72,70,72,75,72,72,70,1
2010-08-21,Everton,Wolves,1,1,D,78,69,72,70,73,70,67,67,5
2010-08-21,Stoke,Tottenham,1,2,A,74,72,69,70,80,75,78,74,-6
2010-08-21,West Brom,Sunderland,1,0,H,73,71,67,70,75,70,73,70,-2
2010-08-21,West Ham,Bolton,1,3,A,75,73,72,71,75,70,74,72,0
2010-08-21,Wigan,Chelsea,0,6,A,73,69,69,68,83,73,77,77,-10
2010-08-22,Fulham,Man United,2,2,D,77,71,71,72,82,74,75,78,-5
2010-08-22,Newcastle,Aston Villa,6,0,H,74,71,70,70,78,77,72,75,-4
2010-08-23,Man City,Liverpool,3,0,H,82,73,76,76,80,73,73,72,2
2010-08-28,Blackburn,Arsenal,1,2,A,75,72,72,70,81,76,76,76,-6
2010-08-28,Blackpool,Fulham,2,2,D,69,69,68,69,77,71,71,72,-8
2010-08-28,Chelsea,Stoke,2,0,H,83,73,77,77,74,72,69,70,9
2010-08-28,Man United,West Ham,3,0,H,82,74,75,78,75,73,72,71,7
2010-08-28,Tottenham,Wigan,0,1,A,80,75,78,74,73,69,69,68,7
2010-08-28,Wolves,Newcastle,1,1,D,73,70,67,67,74,71,70,70,-1
2010-08-29,Aston Villa,Everton,1,0,H,78,77,72,75,78,69,72,70,0
2010-08-29,Bolton,Birmingham,2,2,D,75,70,74,72,76,72,70,72,-1
2010-08-29,Liverpool,West Brom,1,0,H,80,73,73,72,73,71,67,70,7
2010-08-29,Sunderland,Man City,1,0,H,75,70,73,70,82,73,76,76,-7
2010-09-11,Arsenal,Bolton,4,1,H,81,76,76,76,75,70,74,72,6
2010-09-11,Everton,Man United,3,3,D,78,69,72,70,82,74,75,78,-4
2010-09-11,Fulham,Wolves,2,1,H,77,71,71,72,73,70,67,67,4
2010-09-11,Man City,Blackburn,1,1,D,82,73,76,76,75,72,72,70,7
2010-09-11,Newcastle,Blackpool,0,2,A,74,71,70,70,69,69,68,69,5
2010-09-11,West Brom,Tottenham,1,1,D,73,71,67,70,80,75,78,74,-7
2010-09-11,West Ham,Chelsea,1,3,A,75,73,72,71,83,73,77,77,-8
2010-09-11,Wigan,Sunderland,1,1,D,73,69,69,68,75,70,73,70,-2
2010-09-12,Birmingham,Liverpool,0,0,D,76,72,70,72,80,73,73,72,-4
2010-09-13,Stoke,Aston Villa,2,1,H,74,72,69,70,78,77,72,75,-4
2010-09-18,Aston Villa,Bolton,1,1,D,78,77,72,75,75,70,74,72,3
