Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2021-08-13,Brentford,Arsenal,2.0,0.0,H
2021-08-14,Man United,Leeds,5.0,1.0,H
2021-08-14,Burnley,Brighton,1.0,2.0,A
2021-08-14,Chelsea,Crystal Palace,3.0,0.0,H
2021-08-14,Everton,Southampton,3.0,1.0,H
2021-08-14,Leicester,Wolves,1.0,0.0,H
2021-08-14,Watford,Aston Villa,3.0,2.0,H
2021-08-14,Norwich,Liverpool,0.0,3.0,A
2021-08-15,Newcastle,West Ham,2.0,4.0,A
2021-08-15,Tottenham,Man City,1.0,0.0,H
2021-08-21,Liverpool,Burnley,2.0,0.0,H
2021-08-21,Aston Villa,Newcastle,2.0,0.0,H
2021-08-21,Crystal Palace,Brentford,0.0,0.0,D
2021-08-21,Leeds,Everton,2.0,2.0,D
2021-08-21,Man City,Norwich,5.0,0.0,H
2021-08-21,Brighton,Watford,2.0,0.0,H
2021-08-22,Southampton,Man United,1.0,1.0,D
2021-08-22,Wolves,Tottenham,0.0,1.0,A
2021-08-22,Arsenal,Chelsea,0.0,2.0,A
2021-08-23,West Ham,Leicester,4.0,1.0,H
2021-08-28,Man City,Arsenal,5.0,0.0,H
2021-08-28,Aston Villa,Brentford,1.0,1.0,D
2021-08-28,Brighton,Everton,0.0,2.0,A
2021-08-28,Newcastle,Southampton,2.0,2.0,D
2021-08-28,Norwich,Leicester,1.0,2.0,A
2021-08-28,West Ham,Crystal Palace,2.0,2.0,D
2021-08-28,Liverpool,Chelsea,1.0,1.0,D
2021-08-29,Burnley,Leeds,1.0,1.0,D
2021-08-29,Tottenham,Watford,1.0,0.0,H
2021-08-29,Wolves,Man United,0.0,1.0,A
2021-09-11,Crystal Palace,Tottenham,3.0,0.0,H
2021-09-11,Arsenal,Norwich,1.0,0.0,H
2021-09-11,Brentford,Brighton,0.0,1.0,A
2021-09-11,Leicester,Man City,0.0,1.0,A
2021-09-11,Man United,Newcastle,4.0,1.0,H
2021-09-11,Southampton,West Ham,0.0,0.0,D
2021-09-11,Watford,Wolves,0.0,2.0,A
2021-09-11,Chelsea,Aston Villa,3.0,0.0,H
2021-09-12,Leeds,Liverpool,0.0,3.0,A
2021-09-13,Everton,Burnley,3.0,1.0,H
2021-09-17,Newcastle,Leeds,1.0,1.0,D
2021-09-18,Wolves,Brentford,0.0,2.0,A
2021-09-18,Burnley,Arsenal,0.0,1.0,A
2021-09-18,Liverpool,Crystal Palace,3.0,0.0,H
2021-09-18,Man City,Southampton,0.0,0.0,D
2021-09-18,Norwich,Watford,1.0,3.0,A
2021-09-18,Aston Villa,Everton,3.0,0.0,H
2021-09-19,Brighton,Leicester,2.0,1.0,H
2021-09-19,West Ham,Man United,1.0,2.0,A
2021-09-19,Tottenham,Chelsea,0.0,3.0,A
2021-09-25,Chelsea,Man City,0.0,1.0,A
2021-09-25,Man United,Aston Villa,0.0,1.0,A
2021-09-25,Everton,Norwich,2.0,0.0,H
2021-09-25,Leeds,West Ham,1.0,2.0,A
2021-09-25,Leicester,Burnley,2.0,2.0,D
2021-09-25,Watford,Newcastle,1.0,1.0,D
2021-09-25,Brentford,Liverpool,3.0,3.0,D
2021-09-26,Southampton,Wolves,0.0,1.0,A
2021-09-26,Arsenal,Tottenham,3.0,1.0,H
2021-09-27,Crystal Palace,Brighton,1.0,1.0,D
2021-10-02,Man United,Everton,1.0,1.0,D
2021-10-02,Burnley,Norwich,0.0,0.0,D
2021-10-02,Chelsea,Southampton,3.0,1.0,H
2021-10-02,Leeds,Watford,1.0,0.0,H
2021-10-02,Wolves,Newcastle,2.0,1.0,H
2021-10-02,Brighton,Arsenal,0.0,0.0,D
2021-10-03,Crystal Palace,Leicester,2.0,2.0,D
2021-10-03,Tottenham,Aston Villa,2.0,1.0,H
2021-10-03,West Ham,Brentford,1.0,2.0,A
2021-10-03,Liverpool,Man City,2.0,2.0,D
2021-10-16,Watford,Liverpool,0.0,5.0,A
2021-10-16,Aston Villa,Wolves,2.0,3.0,A
2021-10-16,Leicester,Man United,4.0,2.0,H
2021-10-16,Man City,Burnley,2.0,0.0,H
2021-10-16,Norwich,Brighton,0.0,0.0,D
2021-10-16,Southampton,Leeds,1.0,0.0,H
2021-10-16,Brentford,Chelsea,0.0,1.0,A
2021-10-17,Everton,West Ham,0.0,1.0,A
2021-10-17,Newcastle,Tottenham,2.0,3.0,A
2021-10-18,Arsenal,Crystal Palace,2.0,2.0,D
2021-10-22,Arsenal,Aston Villa,3.0,1.0,H
2021-10-23,Chelsea,Norwich,7.0,0.0,H
2021-10-23,Crystal Palace,Newcastle,1.0,1.0,D
2021-10-23,Everton,Watford,2.0,5.0,A
2021-10-23,Leeds,Wolves,1.0,1.0,D
2021-10-23,Southampton,Burnley,2.0,2.0,D
2021-10-23,Brighton,Man City,1.0,4.0,A
2021-10-24,Brentford,Leicester,1.0,2.0,A
2021-10-24,West Ham,Tottenham,1.0,0.0,H
2021-10-24,Man United,Liverpool,0.0,5.0,A
2021-10-30,Leicester,Arsenal,0.0,2.0,A
2021-10-30,Burnley,Brentford,3.0,1.0,H
2021-10-30,Liverpool,Brighton,2.0,2.0,D
2021-10-30,Man City,Crystal Palace,0.0,2.0,A
2021-10-30,Newcastle,Chelsea,0.0,3.0,A
2021-10-30,Watford,Southampton,0.0,1.0,A
2021-10-30,Tottenham,Man United,0.0,3.0,A
2021-10-31,Norwich,Leeds,1.0,2.0,A
2021-10-31,Aston Villa,West Ham,1.0,4.0,A
